address,instruction,opcode,x,y,n,kk,nnn,description
0x02E0,0x00E0,0x0000,0x0000,0x000E,0x0000,0x00E0,0x00E0,CLEAR_SCREEN
0x02E2,0x8000,0x8000,0x0000,0x0000,0x0000,0x0000,0x0000,SET_V[0x0000]_EQUALSTO_V[0x0000]
0x02E4,0x4040,0x4000,0x0000,0x0004,0x0000,0x0040,0x0040,SKIP_NEXT_INSTRUCTION_IF_V[0x0000]_NOT_EQUALS_0x0040
0x02E6,0xC000,0xC000,0x0000,0x0000,0x0000,0x0000,0x0000,SET_V[0x0000]_EQUALSTO_RANDOM
0x02E8,0x00E0,0x0000,0x0000,0x000E,0x0000,0x00E0,0x00E0,CLEAR_SCREEN
0x02EA,0x2000,0x2000,0x0000,0x0000,0x0000,0x0000,0x0000,SUBROUTINE_CALL_0x0000
0x02EC,0x6040,0x6000,0x0000,0x0004,0x0000,0x0040,0x0040,SET_V[0x0000]_EQUALSTO_0x0040
0x02EE,0x4000,0x4000,0x0000,0x0000,0x0000,0x0000,0x0000,SKIP_NEXT_INSTRUCTION_IF_V[0x0000]_NOT_EQUALS_0x0000
0x02F0,0x80E0,0x8000,0x0000,0x000E,0x0000,0x00E0,0x00E0,SET_V[0x0000]_EQUALSTO_V[0x000E]
0x02F2,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,UNKNOWN_0x00_INSTRUCTION
0x02F4,0x40C0,0x4000,0x0000,0x000C,0x0000,0x00C0,0x00C0,SKIP_NEXT_INSTRUCTION_IF_V[0x0000]_NOT_EQUALS_0x00C0
0x02F6,0x8000,0x8000,0x0000,0x0000,0x0000,0x0000,0x0000,SET_V[0x0000]_EQUALSTO_V[0x0000]
0x02F8,0xC060,0xC000,0x0000,0x0006,0x0000,0x0060,0x0060,SET_V[0x0000]_EQUALSTO_RANDOM
0x02FA,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,UNKNOWN_0x00_INSTRUCTION
0x02FC,0x40C0,0x4000,0x0000,0x000C,0x0000,0x00C0,0x00C0,SKIP_NEXT_INSTRUCTION_IF_V[0x0000]_NOT_EQUALS_0x00C0
0x02FE,0x8000,0x8000,0x0000,0x0000,0x0000,0x0000,0x0000,SET_V[0x0000]_EQUALSTO_V[0x0000]
0x0300,0xC060,0xC000,0x0000,0x0006,0x0000,0x0060,0x0060,SET_V[0x0000]_EQUALSTO_RANDOM
0x0302,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,UNKNOWN_0x00_INSTRUCTION
